type;no;UFL;UEL;UEB;UFL_UEL;UFL_UEB
fresh;FV2620;0.7;1.06;1.11;0.6604;0.6306
fresh;FV2630;0.68;1.05;1.09;0.6476;0.6239
fresh;FV2640;0.7;0.99;0.98;0.7071;0.7143
fresh;FV2650;0.69;1.02;1.04;0.6765;0.6635
fresh;FV2660;0.97;0.92;0.86;1.0543;1.1279
fresh;FV2670;0.93;0.95;0.91;0.9789;1.022
fresh;FV2680;0.87;0.9;0.83;0.9667;1.0482
fresh;FV2690;0.89;0.95;0.91;0.9368;0.978
fresh;FV2700;0.88;0.98;0.96;0.898;0.9167
fresh;FV2710;0.87;0.92;0.87;0.9457;1
fresh;FV2720;0.93;1.12;1.28;0.8304;0.7266
fresh;FV2730;0.94;1.18;1.36;0.7966;0.6912
fresh;FV2740;0.83;1.15;1.29;0.7217;0.6434
fresh;FV2750;0.82;1.3;1.65;0.6308;0.497
fresh;FV2760;0.78;1.16;1.3;0.6724;0.6
fresh;FV2770;0.75;1.01;1.01;0.7426;0.7426
fresh;FV2780;0.8;1.03;1.05;0.7767;0.7619
fresh;FV2790;0.79;1.07;1.13;0.7383;0.6991
fresh;FV2800;0.8;0.98;0.97;0.8163;0.8247
fresh;FV2810;0.72;0.97;0.95;0.7423;0.7579
fresh;FV2820;0.68;1.1;1.18;0.6182;0.5763
fresh;FV2830;0.76;1.01;1.02;0.7525;0.7451
fresh;FV2840;1.03;0.98;0.97;1.051;1.0619
fresh;FV2850;1.03;0.98;0.97;1.051;1.0619
fresh;FV2860;1.04;0.98;0.97;1.0612;1.0722
fresh;FV2870;1.01;0.98;0.97;1.0306;1.0412
fresh;FV2880;0.91;0.96;0.93;0.9479;0.9785
fresh;FV2890;0.85;1.16;1.31;0.7328;0.6489
fresh;FV2900;0.76;1.23;1.47;0.6179;0.517
fresh;FV2910;0.96;1;0.97;0.96;0.9897
fresh;FV2920;0.9;1.08;0.97;0.8333;0.9278
fresh;FV2930;0.79;1.02;0.97;0.7745;0.8144
fresh;FV2940;0.87;1.12;0.97;0.7768;0.8969
