id;type;name;name_de;delta_F1;delta_C1;delta_FR1_QIL;delta_S1_QIL;delta_S2_QIL;delta_H1_QIL;delta_H2_QIL;delta_FR1_QIB;delta_S1_QIB;delta_S2_QIB;delta_H1_QIB;delta_H2_QIB;eco;DM;ash;OM;OMD;CP;CPD;EE;EED;CF;CFD;NFE;NFED;NDF;starch;sugar
;;;;…;…;…;…;…;…;…;…;…;…;…;…;0/1;g kg-1 feed;g kg-1 DM;g kg-1 DM;kg kg-1;g kg-1 DM;kg kg-1;g kg-1 DM;kg kg-1;g kg-1 DM;kg kg-1;g kg-1 DM;kg kg-1;g kg-1 DM;g kg-1 DM;g kg-1 DM
48;hay;Hay, 2nd cut of 2 or 3, 4-6 weeks;Heu, 2-3 Nutzungen, grasreich, 2. Schnitt, 4-6 Wochen;82.00;0.00;0.00;0.00;0.00;0.00;5.50;0.00;0.00;0.00;0.00;5.20;1;860;95;905;0.66;133;0.59;30;0.46;284;0.64;458;0.69;582;0;80
49;hay;Hay, 2nd cut of 2 or 3, 7-9 weeks;Heu, 2-3 Nutzungen, grasreich, 2. Schnitt, 7-9 Wochen;82.00;0.00;0.00;0.00;0.00;0.00;5.50;0.00;0.00;0.00;0.00;5.20;1;860;97;903;0.61;124;0.58;30;0.46;312;0.64;437;0.59;604;0;60
50;straw;Barley, straw;Gerste, Stroh;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;860;59;941;0.50;39;0.10;16;0.41;442;0.55;444;0.48;798;0;7
51;straw;Oats, straw;Hafer, Stroh;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;860;66;934;0.50;35;0.30;15;0.34;440;0.58;444;0.44;796;0;14
52;straw;Wheat, straw;Weizen, Stroh;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;860;78;922;0.47;37;0.27;13;0.43;429;0.56;443;0.42;798;0;8
53;concentrate;Barley, grain;Gerste (Winter), Körner;0.00;36.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;880;27;973;0.85;124;0.74;27;0.77;57;0.32;765;0.92;216;599;18
54;concentrate;Faba beans, grain;Ackerbohnen;0.00;-87.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;880;39;961;0.91;298;0.86;16;0.75;89;0.86;558;0.94;161;422;41
55;concentrate;Maize, grain;Mais, Körner;0.00;75.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;880;17;983;0.86;106;0.66;45;0.83;26;0.46;806;0.90;120;694;19
56;concentrate;Oats, grain;Hafer, Körner;0.00;75.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;880;33;967;0.74;121;0.74;53;0.88;116;0.29;677;0.80;312;452;16
57;concentrate;Peas, grain;Erbsen;0.00;-87.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;880;34;966;0.90;251;0.82;15;0.62;67;0.78;633;0.95;155;478;61
58;concentrate;Rye, grain;Roggen, Körner;0.00;36.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;880;21;979;0.90;112;0.69;18;0.58;27;0.47;822;0.94;132;632;68
59;concentrate;Triticale, grain;Triticale, Körner;0.00;36.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;880;22;978;0.89;145;0.71;18;0.65;28;0.32;787;0.93;146;640;40
60;concentrate;Wheat, grain;Weizen (Winter), Körner;0.00;36.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;880;19;981;0.89;138;0.78;20;0.78;29;0.41;794;0.93;143;662;33
61;concentrate;Brewer's grains, silage;Biertrebersilage;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;260;48;952;0.68;249;0.82;86;0.92;193;0.54;424;0.60;575;17;6
62;concentrate;Lucerne, dehydrated meal, immature;Grünmehl, Luzerne, jung;0.00;46.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;900;118;882;0.70;218;0.77;35;0.41;222;0.54;407;0.76;398;0;53
63;concentrate;Rapeseed, cake 15% ether extracts;Rapskuchen, 15% Fett;0.00;36.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;900;69;931;0.80;350;0.86;155;0.90;111;0.41;315;0.84;254;0;95
64;concentrate;Rapessed, expeller;Rapsextraktionsschrot;0.00;36.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;890;77;923;0.80;399;0.84;25;0.78;131;0.50;368;0.86;300;0;80
65;concentrate;Soybean seeds, heat treated;Sojabohnen, dampferhitzt;0.00;-46.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;935;54;946;0.86;398;0.90;203;0.91;62;0.69;283;0.80;132;57;81
66;concentrate;Soybean meal, partly dehulled, heat treated;Sojaextraktionsschrot geschält, dampferhitzt;0.00;-46.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;890;67;933;0.92;548;0.92;13;0.68;39;0.85;333;0.93;90;69;115
67;concentrate;Sunflower seed meal, partly dehulled;Sonnenblumenextraktionsschrot, teilgesch.;0.00;-46.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;900;70;930;0.65;379;0.85;24;0.85;223;0.27;304;0.70;378;0;68
68;concentrate;Sunflower cake, partly dehulled, 4-8% ether extracts;Sonnenblumenkuchen, teilentschält, 4-8% Fett;0.00;-46.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;910;66;934;0.65;390;0.85;62;0.85;206;0.27;276;0.70;349;0;85
69;concentrate;Wheat, bran;Weizenkleie;0.00;75.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;880;65;935;0.67;160;0.76;43;0.59;134;0.33;598;0.73;580;149;64
